mjd,flux,err,trend1,trend2,zp,sector
58328.88879394531,269.3180498708658,4.079079672040331,277.6242458590506,277.6242458590506,20.44,1.0
58328.909606933594,252.8900335497403,5.513327516142048,265.92391824078965,265.92391824078965,20.44,1.0
58328.93048095703,270.1240054560547,5.892454471728622,254.58093923880568,254.58093923880568,20.44,1.0
58328.95129394531,236.22208481731002,4.687455750443592,248.7202573897926,248.7202573897926,20.44,1.0
58328.972106933594,239.58480709382656,3.147496334482523,247.5351494244689,247.5351494244689,20.44,1.0
58328.99298095703,229.3366431646329,2.4535193641889443,245.86038512229993,245.86038512229993,20.44,1.0
58329.01379394531,243.5661777761178,2.0181508707335567,242.52763501841025,242.52763501841025,20.44,1.0
58329.034606933594,261.0222941136,2.6035705145228247,241.44956167477224,241.44956167477224,20.44,1.0
58329.05548095703,241.16668343455746,3.8718097732195673,241.34145355846306,241.34145355846306,20.44,1.0
58329.07629394531,246.79475472882706,3.9003344253354464,243.9172244231698,243.9172244231698,20.44,1.0
58329.097106933594,228.67557141184403,3.3768795481594642,244.22589115654912,244.22589115654912,20.44,1.0
58329.11798095703,238.8280502796623,2.65641057638885,247.02440938929414,247.02440938929414,20.44,1.0
58329.13879394531,247.3670392175801,2.1414235078817265,254.2174279080366,254.2174279080366,20.44,1.0
58329.159606933594,245.72684490977304,1.7056488607483171,257.0461497876451,257.0461497876451,20.44,1.0
58329.18048095703,280.611921742815,2.4950638679498995,261.6256314184663,261.6256314184663,20.44,1.0
58329.20129394531,291.5178130657546,2.937829135281906,262.82336112418875,262.82336112418875,20.44,1.0
58329.222106933594,266.59580788608673,3.1480974344024766,263.44548634180796,263.44548634180796,20.44,1.0
58329.24298095703,260.73194282759243,2.71376589138428,259.4249675238749,259.4249675238749,20.44,1.0
58329.26379394531,247.2121582197197,2.1259421233218725,254.37411235237738,254.37411235237738,20.44,1.0
58329.284606933594,251.72191574091448,1.8223209798821889,249.8626791683054,249.8626791683054,20.44,1.0
58329.30548095703,217.58321318424169,1.9988155685329685,246.6044137801449,246.6044137801449,20.44,1.0
58329.32629394531,245.25593554233217,2.7010579644930166,245.75452400198733,245.75452400198733,20.44,1.0
58329.347106933594,259.93778077725057,3.676641794297894,247.52913234352428,247.52913234352428,20.44,1.0
58329.36798095703,243.78795016896356,3.0301241679101123,250.14503124789593,250.14503124789593,20.44,1.0
58329.38879394531,254.7827143804892,2.223100217276139,257.24197137869584,257.24197137869584,20.44,1.0
58329.409606933594,259.6344166104784,1.9304660476998672,260.78193878879944,260.78193878879944,20.44,1.0
58329.43048095703,270.033208071516,1.8554146835900076,260.5589200662918,260.5589200662918,20.44,1.0
58329.45129394531,267.26179409984115,2.881310047848258,263.2362062379667,263.2362062379667,20.44,1.0
58329.472106933594,270.03570741305725,4.751902937404591,264.6603782971666,264.6603782971666,20.44,1.0
58329.49298095703,258.37664971969724,6.012655710259316,266.0447444850746,266.0447444850746,20.44,1.0
58329.51379394531,262.5289533706875,5.46159067318453,265.342787144582,265.342787144582,20.44,1.0
58329.534606933594,264.75191879488875,4.592524034553289,264.6564471862545,264.6564471862545,20.44,1.0
58329.55548095703,269.32497992583467,2.9464476986035466,263.4850908582764,263.4850908582764,20.44,1.0
58329.57629394531,265.11950668806764,1.3425643408639802,265.09663232408036,265.09663232408036,20.44,1.0
58329.597106933594,262.45741439154875,2.187590192064079,263.5670036643773,263.5670036643773,20.44,1.0
58329.61798095703,261.8362131172106,3.456280690177505,259.54634021825063,259.54634021825063,20.44,1.0
58329.63879394531,269.65743998032474,3.4770401764592958,257.9153231824998,257.9153231824998,20.44,1.0
58329.659606933594,251.82155275276594,3.236342338699092,253.84035830059537,253.84035830059537,20.44,1.0
58329.68048095703,236.6072746720021,3.0217430923396638,248.71430863864038,248.71430863864038,20.44,1.0
58329.70135498047,257.90786067557895,2.5494347883708293,245.01851838972794,245.01851838972794,20.44,1.0
58329.72216796875,236.59475251473685,1.9615437807680993,238.79256683954875,238.79256683954875,20.44,1.0
58329.74298095703,226.57506675786342,1.687413466113796,235.9343021188459,235.9343021188459,20.44,1.0
58329.76385498047,235.96568137482356,2.573830789303192,234.5379384965952,234.5379384965952,20.44,1.0
58329.78466796875,226.07577912907055,3.368736295931613,229.21203777507233,229.21203777507233,20.44,1.0
58329.80548095703,231.81369970784613,3.3135637629122847,229.75504253457223,229.75504253457223,20.44,1.0
58329.82635498047,226.8327293162468,3.1991531444641965,232.4653768935496,232.4653768935496,20.44,1.0
58329.86798095703,220.62655562491886,2.1716539709377924,234.34367194793896,234.34367194793896,20.44,1.0
58329.88885498047,240.39578583123642,3.326991423598954,237.0580776803062,237.0580776803062,20.44,1.0
58329.90966796875,245.54740727070518,4.335251720118901,238.62629425488694,238.62629425488694,20.44,1.0
58329.93048095703,249.11374675554896,3.1333601948444554,240.20275756792654,240.20275756792654,20.44,1.0
58329.95135498047,245.07661925564116,2.971493191263455,241.89076502882943,241.89076502882943,20.44,1.0
58329.97216796875,242.7912157299114,2.1625619096968713,247.22931190872225,247.22931190872225,20.44,1.0
58329.99298095703,237.8679725075236,2.0981352742189996,252.35533842345205,252.35533842345205,20.44,1.0
58330.01385498047,232.44260785123942,2.5591177260555464,251.85634117177176,251.85634117177176,20.44,1.0
58330.03466796875,277.7656139904862,3.0896111618561957,250.7737617529377,250.7737617529377,20.44,1.0
58330.05548095703,281.42959287381365,5.262172930377359,247.88788069825569,247.88788069825569,20.44,1.0
